更新时间,#genre#
CCTV-10,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3949784BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUXt3TPFwzzdHCkOT9AjSv5OuXozn3alq9%2BUx7ZLG1w9aOfkLjZvYj56D3xkOAtSOIoLsdw8c1%2BCwLDg1aS4esN4$订阅源-IPv6
CCTV-10,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000023734/1.m3u8$订阅源-IPv6
CCTV-10,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8?$订阅源-IPv6
CCTV-10,http://114.246.181.146:4022/rtp/239.3.1.63:8116$组播源
CCTV-10,http://61.138.128.226:19901/tsfile/live/0011_1.m3u8$订阅源
CCTV-10,http://36.129.204.117:9003//hls/11/index.m3u8$订阅源
CCTV-10,http://61.138.128.226:19901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-11,http://114.252.236.205:8000/rtp/239.3.1.152:8120$组播源
CCTV-11,http://60.2.190.206:4000/rtp/239.253.93.153:6321$组播源
CCTV-11,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000497/index.m3u8?IAS$订阅源-IPv6
CCTV-11,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226541/index.m3u8$订阅源-IPv6
CCTV-11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$订阅源-IPv6
CCTV-11,http://60.7.56.33:4000/rtp/239.253.93.153:6321$组播源
CCTV-11,https://api.olelive.com/dis/live/CCTV11HD/hls.m3u8$订阅源
CCTV-11,http://61.138.128.226:19901/tsfile/live/0011_2.m3u8$订阅源
CCTV-11,http://36.129.204.117:9003//hls/12/index.m3u8$订阅源
CCTV-12,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-12,http://114.252.236.205:8000/rtp/239.3.1.64:8124$组播源
CCTV-12,http://114.246.181.146:4022/rtp/239.3.1.64:8124$组播源
CCTV-12,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000040BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QMAmpLefguRLiOPXiDRWhxHg8yim2giTBA8RILsb%2B8Y5pkFUyZBE%2FkNJAbwncEegkU$订阅源-IPv6
CCTV-12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$订阅源-IPv6
CCTV-12,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8$订阅源-IPv6
CCTV-12,http://60.7.56.33:4000/rtp/239.253.92.197:6062$组播源
CCTV-12,http://61.138.128.226:19901/tsfile/live/0013_1.m3u8$订阅源
CCTV-12,http://36.129.204.117:9003//hls/13/index.m3u8$订阅源
CCTV-12,http://61.138.128.226:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13,http://114.252.236.205:8000/rtp/239.3.1.124:8128$组播源
CCTV-13,http://60.7.56.33:4000/rtp/239.253.92.13:8008$组播源
CCTV-13,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031108/1.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=3$订阅源-IPv6
CCTV-13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8$订阅源-IPv6
CCTV-13,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8$订阅源-IPv6
CCTV-13,http://114.246.181.146:4022/rtp/239.3.1.124:8128$组播源
CCTV-13,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8$订阅源
CCTV-13,http://36.129.204.117:9003//hls/14/index.m3u8$订阅源
CCTV-13,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14,http://114.252.236.205:8000/rtp/239.3.1.65:8132$组播源
CCTV-14,http://60.7.56.33:4000/rtp/239.253.92.198:6063$组播源
CCTV-14,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226166/index.m3u8$订阅源-IPv6
CCTV-14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$订阅源-IPv6
CCTV-14,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265013/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=3$订阅源-IPv6
CCTV-14,http://114.246.181.146:4022/rtp/239.3.1.65:8132$组播源
CCTV-14,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8$订阅源
CCTV-14,http://36.129.204.117:9003//hls/15/index.m3u8$订阅源
CCTV-14,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15,http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15,http://114.252.236.205:8000/rtp/239.3.1.153:8136$组播源
CCTV-15,http://114.246.181.146:4022/rtp/239.3.1.153:8136$组播源
CCTV-15,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000346/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV-15,http://[2409:8087:74d9:21::6]:80/270000001128/9900000512/index.m3u8$订阅源-IPv6
CCTV-15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$订阅源-IPv6
CCTV-15,http://60.7.56.33:4000/rtp/239.253.93.154:6322$组播源
CCTV-15,http://61.138.128.226:19901/tsfile/live/0019_1.m3u8$订阅源
CCTV-15,http://36.129.204.117:9003//hls/16/index.m3u8$订阅源
CCTV-15,http://1.183.141.194:8001/hls/15/index.m3u8$订阅源
CCTV-16,http://114.252.236.205:8000/rtp/239.3.1.183:8001$组播源
CCTV-16,http://114.252.236.205:8000/rtp/239.3.1.184:8001$组播源
CCTV-16,http://114.246.181.146:4022/rtp/239.3.1.184:8001$组播源
CCTV-16,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226100/2.m3u8$订阅源-IPv6
CCTV-16,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$订阅源-IPv6
CCTV-16,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8$订阅源-IPv6
CCTV-16,https://api.olelive.com/dis/live/CCTV16HD/hls.m3u8$订阅源
CCTV-16,http://36.129.204.117:9003//hls/17/index.m3u8$订阅源
CCTV-16,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9899&tk=e503191f8e20$订阅源
CCTV-17,http://114.252.236.205:8000/rtp/239.3.1.151:8144$组播源
CCTV-17,http://114.246.181.146:4022/rtp/239.3.1.151:8144$组播源
CCTV-17,https://api.olelive.com/dis/live/CCTV17HD/hls.m3u8$订阅源
CCTV-17,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225765/2.m3u8$订阅源-IPv6
CCTV-17,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000494/index.m3u8?IAS$订阅源-IPv6
CCTV-17,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000494/index.m3u8?IAS$订阅源-IPv6
CCTV-17,http://36.129.204.117:9003//hls/18/index.m3u8$订阅源
CCTV-17,http://58.57.40.22:9901/tsfile/live/0019_1.m3u8$订阅源
CETV1,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000076/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CETV1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000046/index.m3u8$订阅源-IPv6
CETV1,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000076/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CETV2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8$订阅源-IPv6
CETV2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000071/index.m3u8$订阅源-IPv6
CETV2,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000077/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CETV4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8$订阅源-IPv6
CETV4,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000666/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CETV4,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000666/index.m3u8?IASHttpSessionId=$订阅源-IPv6

📡卫视频道,#genre#
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
广东卫视,http://60.7.56.33:4000/rtp/239.253.92.206:8108$组播源
广东卫视,http://61.138.128.226:19901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://[2409:8087:1a0a:df::4011]:80/wh7f454c46tw2785724078_-429391256/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$订阅源-IPv6
广东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000520/index.m3u8$订阅源-IPv6
